section,row,seat,x,y
316,16,22,6510.41,6747.93
316,16,23,6496.86,6751.46
316,16,24,6483.31,6754.99
316,17,1,6801.09,6697.53
316,17,2,6787.54,6701.06
316,17,3,6773.99,6704.59
316,17,4,6760.45,6708.11
316,17,5,6746.9,6711.64
316,17,6,6733.35,6715.17
316,17,7,6719.8,6718.7
316,17,8,6706.25,6722.23
316,17,9,6692.71,6725.76
316,17,10,6679.16,6729.29
316,17,11,6665.61,6732.82
316,17,12,6652.06,6736.35
316,17,13,6638.51,6739.88
316,17,14,6624.97,6743.4
316,17,15,6611.42,6746.93
316,17,16,6597.87,6750.46
316,17,17,6584.32,6753.99
316,17,18,6570.78,6757.52
316,17,19,6557.23,6761.05
316,17,20,6543.68,6764.58
316,17,21,6530.13,6768.11
316,17,22,6516.58,6771.64
316,17,23,6503.04,6775.17
316,17,24,6489.49,6778.69
316,18,1,6807.27,6721.24
316,18,2,6793.72,6724.77
316,18,3,6780.17,6728.29
316,18,4,6766.62,6731.82
316,18,5,6753.07,6735.35
316,18,6,6739.53,6738.88
316,18,7,6725.98,6742.41
316,18,8,6712.43,6745.94
316,18,9,6698.88,6749.47
316,18,10,6685.33,6753
316,18,11,6671.79,6756.53
316,18,12,6658.24,6760.06
316,18,13,6644.69,6763.58
316,18,14,6631.14,6767.11
316,18,15,6617.59,6770.64
316,18,16,6604.05,6774.17
316,18,17,6590.5,6777.7
316,18,18,6576.95,6781.23
316,18,19,6563.4,6784.76
316,18,20,6549.85,6788.29
316,18,21,6536.31,6791.82
316,18,22,6522.76,6795.34
316,18,23,6509.21,6798.87
316,18,24,6495.66,6802.4
316,19,1,6813.44,6744.95
316,19,2,6799.89,6748.47
316,19,3,6786.35,6752
316,19,4,6772.8,6755.53
316,19,5,6759.25,6759.06
316,19,6,6745.7,6762.59
316,19,7,6732.15,6766.12
316,19,8,6718.61,6769.65
316,19,9,6705.06,6773.18
316,19,10,6691.51,6776.71
316,19,11,6677.96,6780.24
316,19,12,6664.41,6783.76
316,19,13,6650.87,6787.29
316,19,14,6637.32,6790.82
316,19,15,6623.77,6794.35
316,19,16,6610.22,6797.88
316,19,17,6596.67,6801.41
316,19,18,6583.13,6804.94
316,19,19,6569.58,6808.47
316,19,20,6556.03,6812
316,19,21,6542.48,6815.52
